STT,Học kỳ,Số TC-ĐK,Số TC-ĐK Mới,Điểm 4,Điểm 10,Điểm HB,TC TL HK,Xếp loại,Điểm 4 TL,Điểm 10 TL,TC Tích lũy
1,"Học kỳ 1, năm 2022 - 2023",18,18,2.94,7.6,7.6,18,Khá,2.94,7.6,18
2,"Học kỳ 2, năm 2022 - 2023",18,18,2.83,7.53,7.53,17,Khá,2.97,7.71,35
3,"Học kỳ 1, năm 2023 - 2024",17,17,3.29,8.14,8.14,17,Giỏi,3.08,7.85,52
4,"Học kỳ 2, năm 2023 - 2024",18,18,3.11,7.86,7.86,18,Khá,3.08,7.86,73
5,"Học kỳ 1, năm 2024 - 2025",20,20,3.75,8.88,8.88,20,Xuất sắc,3.23,8.08,93
6,"Học kỳ 2, năm 2024 - 2025",19,19,3.47,8.35,8.35,19,Giỏi,3.27,8.13,112
